team,rating,year change in rating,Matches,Home,Away,Neutral,Wins,Losses,Draws,Goals For,Goals Against
Canada,1788,+10,490,154,200,136,190,185,115,629,624
Mexico,1875,+58,1030,298,273,459,535,258,237,1829,1056
USA,1733,+11,826,488,253,85,367,286,173,1249,1075
Algeria,1760,+50,689,261,234,194,310,196,183,1053,703
Argentina,2113,-33,1109,381,419,309,610,228,271,2112,1136
Australia,1774,+16,636,271,223,142,326,180,130,1289,715
Austria,1830,-7,866,432,383,51,371,310,185,1561,1321
Belgium,1893,+57,878,416,376,86,392,302,184,1606,1359
Bosnia and Herzegovina,1591,+65,280,118,136,26,104,111,65,393,385
Brazil,1988,-6,1066,373,346,347,671,172,223,2300,956
Cabo Verde,1576,+65,252,80,91,81,95,97,60,270,278
Colombia,1977,+41,649,185,229,235,266,205,178,845,742
Congo DR,1661,+84,548,166,225,157,226,171,151,835,641
Cote d'Ivoire,1695,+104,693,241,238,214,349,166,178,1132,696
Croatia,1908,-,399,157,167,75,209,84,106,694,403
Curacao,1433,+103,499,173,177,149,201,174,124,880,771
Czachia,1740,-23,884,361,416,107,426,261,197,1629,1099  
Ecuador,1935,+26,599,183,211,205,184,254,161,721,904
Egypt,1699,+33,884,354,281,249,447,216,221,1545,921
England,2020,+9,1160,509,524,127,683,215,262,2719,1118
France,2062,+49,939,474,341,124,474,270,195,1707,1274
Germany,1925,-30,1046,470,415,161,605,224,217,2356,1232
Ghana,1510,+33,779,247,298,234,370,213,196,1248,823
Haiti,1548,-5,563,181,196,186,247,198,118,962,761
IR Iran,1772,-26,670,223,195,252,384,132,154,1275,525
Iraq,1618,+100,761,139,232,390,360,189,212,1204,708
Japan,1906,+52,836,332,207,297,409,257,170,1518,985
Jordan,1685,+29,584,201,193,190,207,219,158,730,715
Korea Republic,1758,-9,1052,353,255,444,573,221,258,1913,964
Morocco,1824,+13,729,319,219,191,365,165,199,1107,614
Netherlands,1944,-22,902,430,358,114,465,240,197,1892,1143
New Zealand,1563,-32,440,135,189,116,181,180,79,767,649
Norway,1917,+55,887,426,409,52,335,355,197,1376,1444
Panama,1734,+11,593,201,228,164,197,252,144,742,914
Paraguay,1833,+2,789,215,365,209,277,303,209,1006,1115
Portugal,1984,-36,694,320,262,112,346,189,159,1222,779
Qatar,1423,-107,698,328,147,223,289,233,176,993,826
Saudi Arabia,1569,-39,839,324,151,364,397,247,195,1286,896
Scotland,1770,+54,868,403,413,52,412,268,188,1499,1076
Senegal,1867,+109,705,221,260,224,319,193,193,969,672
South Africa,1518,-42,525,276,161,88,231,141,153,719,542
Spain,2155,-12,781,341,302,138,461,138,182,1592,698
Sweden,1712,-42,1120,490,500,130,549,336,235,2229,1487
Switzerland,1894,+82,896,426,392,78,320,373,203,1339,1483
Tunisia,1628,+15,777,337,253,187,330,231,216,1105,845
Turkiye,1906,+69,670,291,300,79,264,250,156,951,969
Uruguay,1892,+3,1019,336,432,251,446,321,252,1610,1254
Uzbekistan,1718,+24,366,130,129,107,180,111,75,635,400